"country";"mechanism_id";"mechanism_name";"legal_preparedness_relevance";"likely_anchor_strength";"operational_dependence";"notes"
"Costa Rica";"CRC-MECH-001";"vote";"core";"5";"low";"Universal, direct, secret, obligatory suffrage (Art. 93 CPCR). Strong constitutional + statutory basis."
"Costa Rica";"CRC-MECH-002";"right_to_stand_for_election";"core";"5";"low";"Gender parity (Art. 2 Código Electoral). Strong constitutional + statutory."
"Costa Rica";"CRC-MECH-003";"political_parties";"core";"5";"low";"State financing formula: 0.19% PIB (Art. 96 CPCR). Democratic internal structure required (Art. 98)."
"Costa Rica";"CRC-MECH-004";"citizen_initiative";"core";"5";"medium";"5% padrón threshold (LIP Art. 1). Dedicated statute — stronger than Mexico corpus."
"Costa Rica";"CRC-MECH-005";"referendum";"core";"5";"medium";"Constitutional basis Art. 105. Dedicated statute (LIP N.° 8492) + TSE reglamento."
"Costa Rica";"CRC-MECH-006";"consultative_referendum_or_preliminary_consultation";"secondary";"4";"medium";"Thin corpus — 2021 law only. Sala IV + TSE interaction not fully captured."
"Costa Rica";"CRC-MECH-007";"electoral_remedies";"core";"5";"low";"TSE finality (Art. 103 CPCR). Non-reviewable except prevaricato. Stronger than most electoral tribunals."
"Costa Rica";"CRC-MECH-008";"constitutional_remedies";"secondary";"5";"low";"Sala IV jurisdiction. Interface with TSE on electoral matters. Sala IV jurisprudence not in corpus."
"Costa Rica";"CRC-MECH-009";"legislative_petition_or_participation";"secondary";"4";"medium";"RAL source = manual_review_required. Right of petition (Art. 27 CPCR) is clear."
"Costa Rica";"CRC-MECH-010";"transparency_and_accountability";"secondary";"4";"medium";"LGAP not extractable — corpus_incomplete flag. Party financing (Art. 96 CPCR + Código Electoral)."
"Costa Rica";"CRC-MECH-011";"electoral_authority_internal_governance";"secondary";"5";"low";"TSE constitutional rank (Art. 9 CPCR). Magistrados appointed by Corte Suprema (2/3 vote, Art. 100 CPCR)."
"Costa Rica";"CRC-MECH-012";"civil_registry_electoral_functions";"secondary";"5";"low";"Registro Civil under exclusive TSE dependence (Art. 104 CPCR). Decisions appealable to TSE."
