"country","mechanism_id","mechanism_name","mechanism_category","edge_count_hi_med","dominant_actor_id","dominant_actor_name","dominant_actor_degree","dominant_actor_share","critical_stage_dominance","bottleneck_risk","bottleneck_actors","notes"
"Costa Rica","COS-MECH-","","other","8","CRC-ACT-005","Asamblea Legislativa","7","0.4375","","medium","CRC-ACT-005|CRC-ACT-009","insufficient_data = fewer than 3 high/medium-confidence edges"
"Costa Rica","CRC-MECH-001","vote","participation","111","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","49","0.2207","CRC-ACT-001:4|CRC-ACT-006:5|CRC-ACT-007:3|CRC-ACT-008:3|CRC-ACT-005:3","low","","insufficient_data = fewer than 3 high/medium-confidence edges"
"Costa Rica","CRC-MECH-002","right_to_stand_for_election","candidacy","8","CRC-ACT-005","Asamblea Legislativa","4","0.25","","low","","insufficient_data = fewer than 3 high/medium-confidence edges"
"Costa Rica","CRC-MECH-003","political_parties","party_governance","11","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","8","0.3636","","medium","CRC-ACT-001","insufficient_data = fewer than 3 high/medium-confidence edges"
"Costa Rica","CRC-MECH-004","citizen_initiative","legislative","8","CRC-ACT-005","Asamblea Legislativa","6","0.375","","medium","CRC-ACT-005","insufficient_data = fewer than 3 high/medium-confidence edges"
"Costa Rica","CRC-MECH-005","referendum","participation","7","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","6","0.4286","","medium","CRC-ACT-001","insufficient_data = fewer than 3 high/medium-confidence edges"
"Costa Rica","CRC-MECH-007","electoral_remedies","remedy","8","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","7","0.4375","","medium","CRC-ACT-001|CRC-ACT-002","insufficient_data = fewer than 3 high/medium-confidence edges"
"Costa Rica","CRC-MECH-008","constitutional_remedies","remedy","18","CRC-ACT-004","Tribunal Supremo de Elecciones (TSE)","8","0.2222","","low","","insufficient_data = fewer than 3 high/medium-confidence edges"
"Costa Rica","CRC-MECH-009","legislative_petition_or_participation","legislative","3","CRC-ACT-008","Poder Ejecutivo","3","0.5","","insufficient_data","CRC-ACT-005|CRC-ACT-008","insufficient_data = fewer than 3 high/medium-confidence edges"
"Costa Rica","CRC-MECH-010","transparency_and_accountability","transparency","1","CRC-ACT-005","Asamblea Legislativa","1","0.5","","insufficient_data","CRC-ACT-005|CRC-ACT-008","insufficient_data = fewer than 3 high/medium-confidence edges"
"Costa Rica","CRC-MECH-011","electoral_authority_internal_governance","governance","35","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","23","0.3286","CRC-ACT-001:3","low","CRC-ACT-001","insufficient_data = fewer than 3 high/medium-confidence edges"
"Mexico","MEX-MECH-","","other","47","MEX-ACT-004","Fiscalía General de la República (FGR)","20","0.2128","","low","","insufficient_data = fewer than 3 high/medium-confidence edges"
"Mexico","MEX-MECH-001","vote","participation","183","MEX-ACT-004","Instituto Nacional Electoral (INE)","62","0.1694","MEX-ACT-001:4|MEX-ACT-006:5|MEX-ACT-007:4|MEX-ACT-003:3|MEX-ACT-002:3|MEX-ACT-004:4|MEX-ACT-010:4","low","","insufficient_data = fewer than 3 high/medium-confidence edges"
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","25","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","8","0.25","","low","",""
"Mexico","MEX-MECH-003","political_parties","party_governance","92","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","34","0.1848","MEX-ACT-001:3|MEX-ACT-006:5|MEX-ACT-002:3|MEX-ACT-007:3|MEX-ACT-004:3","low","","insufficient_data = fewer than 3 high/medium-confidence edges"
"Mexico","MEX-MECH-004","independent_candidacies","candidacy","2","MEX-ACT-007","Ciudadanos / Ciudadanas","2","0.5","","insufficient_data","MEX-ACT-007","insufficient_data = fewer than 3 high/medium-confidence edges"
"Mexico","MEX-MECH-005","citizen_initiative","legislative","4","MEX-ACT-001","Instituto Nacional Electoral (INE)","3","0.375","","medium","MEX-ACT-001|MEX-ACT-004","insufficient_data = fewer than 3 high/medium-confidence edges"
"Mexico","MEX-MECH-006","popular_consultation","participation","18","MEX-ACT-001","Instituto Nacional Electoral (INE)","9","0.25","MEX-ACT-001:3|MEX-ACT-007:3","low","","insufficient_data = fewer than 3 high/medium-confidence edges"
"Mexico","MEX-MECH-007","recall","participation","11","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","7","0.3182","","medium","MEX-ACT-002","insufficient_data = fewer than 3 high/medium-confidence edges"
"Mexico","MEX-MECH-008","electoral_remedies","remedy","32","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","17","0.2656","","low","","insufficient_data = fewer than 3 high/medium-confidence edges"
"Mexico","MEX-MECH-009","electoral_crimes","enforcement","7","MEX-ACT-001","Instituto Nacional Electoral (INE)","5","0.3571","","medium","MEX-ACT-001","insufficient_data = fewer than 3 high/medium-confidence edges"
"Mexico","MEX-MECH-011","transparency_and_accountability","transparency","15","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","8","0.2667","","low","","insufficient_data = fewer than 3 high/medium-confidence edges"
"Mexico","MEX-MECH-012","administrative_responsibility","enforcement","36","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","18","0.25","","low","","insufficient_data = fewer than 3 high/medium-confidence edges"
"Mexico","MEX-MECH-013","electoral_authority_internal_governance","governance","30","MEX-ACT-001","Instituto Nacional Electoral (INE)","18","0.3","","low","","insufficient_data = fewer than 3 high/medium-confidence edges"
